ModuleName,AttributeName,Description_EN,Description_KR,EstimatedWeight,SEOCategory,ImpactType,ImplementationPriority
Freshness,semanticDate,Date derived from content context,콘텐츠에서 해석된 날짜,6,Content Freshness,Positive,P1
Freshness,lastSignificantUpdate,Last meaningful content update,마지막 의미있는 업데이트,8,Content Freshness,Positive,P0
Freshness,FreshnessTwiddler,Freshness-based re-ranking function,신선도 기반 재랭킹 함수,7,Content Freshness,Positive,P1
Chrome,chromeInTotal,Total Chrome browser page views,Chrome 총 페이지뷰,7,User Engagement,Positive,P1
Chrome,topUrl,Most visited URL from Chrome data,Chrome 데이터 기반 최다 방문 URL,7,User Engagement,Positive,P1
Chrome,chrome_trans_clicks,Chrome transition clicks,Chrome 전환 클릭,6,User Engagement,Positive,P2
LinkSignals,PageRankNS,Namespace PageRank variant,네임스페이스 PageRank 변형,9,Link Authority,Positive,P0
LinkSignals,sourceType,Anchor source quality (HIGH/MEDIUM/LOW),앵커 소스 품질,8,Link Quality,Positive,P0
LinkSignals,IndyRank,Independent rank calculation,독립 랭크 계산,7,Link Authority,Positive,P1
LinkSignals,linkDiversity,Link source diversity,링크 소스 다양성,8,Link Quality,Positive,P0
LinkSignals,indexTier,Link quality tier (flash/HDD/SSD storage),링크 품질 티어,8,Link Quality,Positive,P0
AnchorSpam,anchorMismatchDemotion,Anchor-target mismatch penalty (-0.15),앵커-타겟 불일치 페널티,7,Link Spam,Negative,P1
AnchorSpam,phraseAnchorSpamCount,Spam phrase count in anchors,앵커의 스팸 구문 개수,8,Link Spam,Negative,P0
AnchorSpam,phraseAnchorSpamFraq,Spam anchor ratio,스팸 앵커 비율,8,Link Spam,Negative,P0
AnchorSpam,droppedLocalAnchorCount,Internal links excluded by Penguin,Penguin으로 제외된 내부 링크,6,Link Spam,Negative,P2
Author,isAuthor,Entity identified as author,엔티티가 저자인지 여부,7,E-E-A-T,Positive,P1
Author,author,Document author text,문서 저자 텍스트,6,E-E-A-T,Positive,P1
Author,authorEntity,Author entity connection,저자 엔티티 연결,7,E-E-A-T,Positive,P1
TechnicalSEO,crawlStatus,Crawling status,크롤링 상태,9,Crawlability,Positive,P0
TechnicalSEO,indexable,Indexability flag,인덱싱 가능 여부,10,Indexability,Positive,P0
TechnicalSEO,robotsMeta,Robots meta tag,robots 메타 태그,9,Crawl Directives,Variable,P0
TechnicalSEO,canonicalUrl,Canonical URL,캐노니컬 URL,8,Duplicate Content,Positive,P0
TechnicalSEO,mobileScore,Mobile optimization score,모바일 최적화 점수,8,Mobile SEO,Positive,P0
TechnicalSEO,pagespeed,Page loading speed,페이지 로딩 속도,7,User Experience,Positive,P1
TechnicalSEO,httpsStatus,HTTPS security status,HTTPS 보안 상태,7,Security,Positive,P1
TechnicalSEO,clutterScore,Page clutter/ads score,페이지 혼잡도/광고 점수,7,User Experience,Negative,P1
TechnicalSEO,violatesMobileInterstitialPolicy,Mobile interstitial policy violation,모바일 인터스티셜 정책 위반,7,Mobile UX,Negative,P1
Schema,richSnippets,Rich snippet eligibility,리치 스니펫 적격성,6,Structured Data,Positive,P2
Schema,schemaOrg,Schema.org markup presence,Schema.org 마크업 존재,7,Structured Data,Positive,P1
Schema,faqSchema,FAQ schema markup,FAQ 스키마 마크업,6,Structured Data,Positive,P2
Schema,productSchema,Product schema markup,제품 스키마 마크업,7,Structured Data,Positive,P1
Schema,reviewSchema,Review schema markup,리뷰 스키마 마크업,7,Structured Data,Positive,P1
Schema,localBusinessSchema,Local business schema,로컬 비즈니스 스키마,8,Local SEO,Positive,P1
Demotions,exactMatchDomainDemotion,Exact match domain penalty,정확 일치 도메인 페널티,7,Domain Penalty,Negative,P1
Demotions,localMismatch,Local relevance mismatch,지역 관련성 불일치,7,Local SEO,Negative,P1
Demotions,productReviewDemotion,Low-quality product review penalty,저품질 제품 리뷰 페널티,8,Content Quality,Negative,P0
Demotions,spamBrain,AI spam detection system,AI 스팸 감지 시스템,9,Spam Detection,Negative,P0
Demotions,manualAction,Manual penalty,수동 페널티,10,Penalty,Negative,P0
SpecialModules,isElectionAuthority,Election authority whitelist,선거 권위 사이트 화이트리스트,8,YMYL Trust,Positive,P1
SpecialModules,isCovidLocalAuthority,COVID authority whitelist,코로나 권위 사이트 화이트리스트,8,YMYL Trust,Positive,P1
SpecialModules,smallPersonalSite,Small personal site flag,소규모 개인 사이트 플래그,6,Site Classification,Variable,P2
SpecialModules,isYMYL,Your Money Your Life flag,YMYL 콘텐츠 플래그,8,YMYL,Variable,P0
RankingSystems,Mustang,Primary scoring and ranking system,1차 스코어링 및 랭킹 시스템,10,Core Algorithm,Core,P0
RankingSystems,Twiddlers,Re-ranking functions post-Ascorer,Ascorer 이후 재랭킹 함수,9,Core Algorithm,Core,P0
RankingSystems,Ascorer,Initial relevance scoring,초기 관련성 점수,10,Core Algorithm,Core,P0
RankingSystems,Glue,Universal search vertical ranking,유니버설 검색 버티컬 랭킹,8,Core Algorithm,Core,P1
RankingSystems,Tangram,SERP assembly system,SERP 조립 시스템,7,Core Algorithm,Core,P1
RankingSystems,SuperRoot,Query processing system,쿼리 처리 시스템,8,Core Algorithm,Core,P1
RankingSystems,Trawler,Web crawling system,웹 크롤링 시스템,8,Crawl System,Core,P1
RankingSystems,Alexandria,Indexing system,인덱싱 시스템,8,Index System,Core,P1
RankingSystems,TeraGoogle,Large-scale index storage,대규모 인덱스 저장,7,Index System,Core,P2
RealTime,RealTimeBoost,Real-time trending boost,실시간 트렌딩 부스트,7,Trending,Positive,P1
RealTime,twitterData,Twitter/X data signals,Twitter/X 데이터 신호,6,Social Signals,Positive,P2
RealTime,instantNavboost,Instant Navboost updates,즉시 Navboost 업데이트,7,User Engagement,Positive,P1
