ModuleName,AttributeName,DescriptionEN,DescriptionKR,Weight,SEOCategory,ImpactType,Priority,AlgorithmKey,ScoringMethod,MaxScore
Schema,reviewSchema,Review schema markup,리뷰 스키마 마크업,7,Structured Data,Positive,P1,schema.review,review_schema,100
Schema,localBusinessSchema,Local business schema,로컬 비즈니스 스키마,8,Local SEO,Positive,P1,schema.local,local_schema,100
Demotions,exactMatchDomainDemotion,Exact match domain penalty,정확 일치 도메인 페널티,7,Domain Penalty,Negative,P1,demotion.emd,emd_penalty,100
Demotions,localMismatch,Local relevance mismatch,지역 관련성 불일치,7,Local SEO,Negative,P1,demotion.local,local_mismatch,100
Demotions,productReviewDemotion,Low-quality product review penalty,저품질 제품 리뷰 페널티,8,Content Quality,Negative,P0,demotion.review,review_penalty,100
Demotions,spamBrain,AI spam detection system,AI 스팸 감지 시스템,9,Spam Detection,Negative,P0,demotion.spambrain,spam_score,100
Demotions,manualAction,Manual penalty,수동 페널티,10,Penalty,Negative,P0,demotion.manual,manual_penalty,100
SpecialModules,isElectionAuthority,Election authority whitelist,선거 권위 사이트 화이트리스트,8,YMYL Trust,Positive,P1,special.election,election_auth,100
SpecialModules,isCovidLocalAuthority,COVID authority whitelist,코로나 권위 사이트 화이트리스트,8,YMYL Trust,Positive,P1,special.covid,covid_auth,100
SpecialModules,smallPersonalSite,Small personal site flag,소규모 개인 사이트 플래그,6,Site Classification,Variable,P2,special.personal,personal_flag,100
SpecialModules,isYMYL,Your Money Your Life flag,YMYL 콘텐츠 플래그,8,YMYL,Variable,P0,special.ymyl,ymyl_flag,100
RankingSystems,Mustang,Primary scoring and ranking system,1차 스코어링 및 랭킹 시스템,10,Core Algorithm,Core,P0,system.mustang,mustang_score,100
RankingSystems,Twiddlers,Re-ranking functions post-Ascorer,Ascorer 이후 재랭킹 함수,9,Core Algorithm,Core,P0,system.twiddlers,twiddler_boost,100
RankingSystems,Ascorer,Initial relevance scoring,초기 관련성 점수,10,Core Algorithm,Core,P0,system.ascorer,relevance_score,100
RankingSystems,Glue,Universal search vertical ranking,유니버설 검색 버티컬 랭킹,8,Core Algorithm,Core,P1,system.glue,vertical_score,100
RealTime,RealTimeBoost,Real-time trending boost,실시간 트렌딩 부스트,7,Trending,Positive,P1,realtime.boost,trending_score,100
RealTime,twitterData,Twitter/X data signals,Twitter/X 데이터 신호,6,Social Signals,Positive,P2,realtime.twitter,social_score,100
RealTime,instantNavboost,Instant Navboost updates,즉시 Navboost 업데이트,7,User Engagement,Positive,P1,realtime.instant,instant_score,100
OnPage,titleOptimization,Title tag optimization score,타이틀 태그 최적화 점수,8,On-Page SEO,Positive,P0,onpage.title,title_opt_score,100
OnPage,metaDescription,Meta description quality,메타 설명 품질,7,On-Page SEO,Positive,P1,onpage.meta_desc,meta_desc_score,100
OnPage,headingStructure,Heading hierarchy quality,제목 구조 품질,6,On-Page SEO,Positive,P1,onpage.headings,heading_score,100
OnPage,imageOptimization,Image alt text and compression,이미지 최적화,6,On-Page SEO,Positive,P1,onpage.images,image_score,100
OnPage,internalLinking,Internal link structure,내부 링크 구조,7,On-Page SEO,Positive,P1,onpage.internal,internal_link_score,100
OnPage,externalLinking,External link quality,외부 링크 품질,6,On-Page SEO,Positive,P2,onpage.external,external_link_score,100
ContentDepth,wordCount,Word count adequacy,단어 수 적정성,5,Content Length,Positive,P2,depth.word_count,word_count_score,100
ContentDepth,readability,Readability score,가독성 점수,6,Content Quality,Positive,P2,depth.readability,readability_score,100
ContentDepth,entityCoverage,Entity and topic coverage,엔티티 및 주제 커버리지,6,Topical Authority,Positive,P2,depth.entities,entity_score,100
EEAT,authorCredentials,Author credentials visibility,저자 자격 가시성,7,E-E-A-T,Positive,P1,eeat.author,author_cred_score,100
EEAT,expertiseSignals,Expertise demonstration,전문성 표시,7,E-E-A-T,Positive,P1,eeat.expertise,expertise_score,100
EEAT,trustSignals,Trust indicators presence,신뢰 지표 존재,8,E-E-A-T,Positive,P1,eeat.trust,trust_indicator_score,100
EEAT,experienceSignals,First-hand experience indicators,직접 경험 지표,7,E-E-A-T,Positive,P1,eeat.experience,experience_score,100
