FactorID,ModuleName,AttributeName,DescriptionEN,DescriptionKR,Weight,SEOCategory,ImpactType,Priority,AlgorithmKey,ScoringMethod,APISource,GoogleElement,MaxScore
F037,Chrome,topUrl,Most visited URL from Chrome data,Chrome 데이터 기반 최다 방문 URL,7,User Engagement,Positive,P1,chrome.top_url,popularity_score,Internal Analysis,topUrl,100
F038,Chrome,chrome_trans_clicks,Chrome transition clicks,Chrome 전환 클릭,6,User Engagement,Positive,P2,chrome.transitions,navigation_score,Internal Analysis,chrome_trans_clicks,100
F039,LinkSignals,PageRankNS,Namespace PageRank variant,네임스페이스 PageRank 변형,9,Link Authority,Positive,P0,links.pagerank_ns,pr_score,Internal Analysis,PageRankNS,100
F040,LinkSignals,sourceType,Anchor source quality (HIGH/MEDIUM/LOW),앵커 소스 품질,8,Link Quality,Positive,P0,links.source_type,anchor_quality,Internal Analysis,sourceType,100
F041,LinkSignals,IndyRank,Independent rank calculation,독립 랭크 계산,7,Link Authority,Positive,P1,links.indyrank,indy_score,Internal Analysis,IndyRank,100
F042,LinkSignals,linkDiversity,Link source diversity,링크 소스 다양성,8,Link Quality,Positive,P0,links.diversity,diversity_score,Internal Analysis,linkDiversity,100
F043,LinkSignals,indexTier,Link quality tier classification,링크 품질 티어,8,Link Quality,Positive,P0,links.tier,tier_score,Internal Analysis,indexTier,100
F044,LinkSignals,backlinkQuality,Overall backlink profile quality,백링크 프로필 품질,8,Link SEO,Positive,P0,links.backlink_quality,backlink_score,Internal Analysis,Backlink Quality,100
F045,AnchorSpam,anchorMismatchDemotion,Anchor-target mismatch penalty (-0.15),앵커-타겟 불일치 페널티,7,Link Spam,Negative,P1,anchor.mismatch,mismatch_penalty,Internal Analysis,anchorMismatchDemotion,100
F046,AnchorSpam,phraseAnchorSpamCount,Spam phrase count in anchors,앵커의 스팸 구문 개수,8,Link Spam,Negative,P0,anchor.spam_count,spam_phrase_count,Internal Analysis,phraseAnchorSpamCount,100
F047,AnchorSpam,phraseAnchorSpamFraq,Spam anchor ratio,스팸 앵커 비율,8,Link Spam,Negative,P0,anchor.spam_ratio,spam_ratio,Internal Analysis,phraseAnchorSpamFraq,100
F048,AnchorSpam,droppedLocalAnchorCount,Internal links excluded by Penguin,Penguin으로 제외된 내부 링크,6,Link Spam,Negative,P2,anchor.dropped,dropped_links,Internal Analysis,droppedLocalAnchorCount,100
F049,Author,isAuthor,Entity identified as author,엔티티가 저자인지 여부,7,E-E-A-T,Positive,P1,author.is_author,author_exists,Internal Analysis,isAuthor,100
F050,Author,author,Document author text,문서 저자 텍스트,6,E-E-A-T,Positive,P1,author.text,author_text,Internal Analysis,Author Information,100
F051,Author,authorEntity,Author entity connection,저자 엔티티 연결,7,E-E-A-T,Positive,P1,author.entity,entity_score,Internal Analysis,authorEntity,100
F052,TechnicalSEO,crawlStatus,Crawling status,크롤링 상태,9,Crawlability,Positive,P0,tech.crawl_status,crawl_score,Search Console API,Index Status,100
F053,TechnicalSEO,indexable,Indexability flag,인덱싱 가능 여부,10,Indexability,Positive,P0,tech.indexable,index_score,Search Console API,Index Status,100
F054,TechnicalSEO,robotsMeta,Robots meta tag,robots 메타 태그,9,Crawl Directives,Variable,P0,tech.robots,robots_score,Internal Analysis,robotsMeta,100
F055,TechnicalSEO,canonicalUrl,Canonical URL setting,캐노니컬 URL,8,Duplicate Content,Positive,P0,tech.canonical,canonical_score,Internal Analysis,canonicalUrl,100
F056,TechnicalSEO,mobileScore,Mobile optimization score,모바일 최적화 점수,10,Mobile SEO,Positive,P0,tech.mobile,mobile_score,PageSpeed API / Search Console,Mobile Friendliness,100
F057,TechnicalSEO,mobileUsability,Mobile usability inspection result,모바일 사용성 검사 결과,9,Mobile SEO,Positive,P0,tech.mobile_usability,usability_score,Search Console API,Mobile Usability,100
F058,TechnicalSEO,pagespeed,Page loading speed,페이지 로딩 속도,8,User Experience,Positive,P0,tech.speed,speed_score,PageSpeed API,Page Speed,100
F059,TechnicalSEO,httpsStatus,HTTPS security status,HTTPS 보안 상태,8,Security,Positive,P1,tech.https,https_score,PageSpeed API / Search Console,HTTPS,100
F060,TechnicalSEO,clutterScore,Page clutter and ads score,페이지 혼잡도/광고 점수,7,User Experience,Negative,P1,tech.clutter,clutter_penalty,Internal Analysis,clutterScore,100
F061,TechnicalSEO,violatesMobileInterstitialPolicy,Mobile interstitial policy violation,모바일 인터스티셜 정책 위반,7,Mobile UX,Negative,P1,tech.interstitial,interstitial_penalty,Internal Analysis,violatesMobileInterstitialPolicy,100
F062,CoreWebVitals,LCP,Largest Contentful Paint,최대 콘텐츠풀 페인트,9,Page Speed,Positive,P0,cwv.lcp,lcp_score,PageSpeed API,Core Web Vitals,100
F063,CoreWebVitals,FID,First Input Delay,첫 입력 지연,9,Page Speed,Positive,P0,cwv.fid,fid_score,PageSpeed API,Core Web Vitals,100
F064,CoreWebVitals,CLS,Cumulative Layout Shift,누적 레이아웃 이동,9,Page Speed,Positive,P0,cwv.cls,cls_score,PageSpeed API,Core Web Vitals,100
F065,CoreWebVitals,FCP,First Contentful Paint,첫 콘텐츠풀 페인트,9,Page Speed,Positive,P0,cwv.fcp,fcp_score,PageSpeed API,Core Web Vitals,100
F066,CoreWebVitals,TTFB,Time to First Byte,첫 바이트 수신 시간,8,Page Speed,Positive,P1,cwv.ttfb,ttfb_score,PageSpeed API,TTFB,100
F067,CoreWebVitals,TBT,Total Blocking Time,총 차단 시간,8,Page Speed,Positive,P1,cwv.tbt,tbt_score,PageSpeed API,TBT,100
F068,Lighthouse,performanceScore,Lighthouse Performance Score,Lighthouse 성능 점수,9,Page Speed,Positive,P0,lighthouse.performance,performance_score,PageSpeed API,Performance Score,100
F069,Lighthouse,seoScore,Lighthouse SEO Score,Lighthouse SEO 점수,9,SEO Score,Positive,P0,lighthouse.seo,seo_audit_score,PageSpeed API,SEO Score,100
F070,Lighthouse,accessibilityScore,Lighthouse Accessibility Score,Lighthouse 접근성 점수,8,Accessibility,Positive,P1,lighthouse.accessibility,accessibility_score,PageSpeed API,Accessibility Score,100
F071,Lighthouse,bestPracticesScore,Lighthouse Best Practices Score,Lighthouse 모범 사례 점수,8,Best Practices,Positive,P1,lighthouse.best_practices,best_practices_score,PageSpeed API,Best Practices Score,100
F072,Schema,richSnippets,Rich snippet eligibility,리치 스니펫 적격성,7,Structured Data,Positive,P1,schema.rich,rich_eligible,Search Console API,Rich Results,100
F073,Schema,schemaOrg,Schema.org markup presence,Schema.org 마크업 존재,7,Structured Data,Positive,P1,schema.org,schema_score,PageSpeed API / Search Console,Schema.org,100
F074,Schema,faqSchema,FAQ schema markup,FAQ 스키마 마크업,6,Structured Data,Positive,P2,schema.faq,faq_score,Internal Analysis,faqSchema,100
F075,Schema,productSchema,Product schema markup,제품 스키마 마크업,7,Structured Data,Positive,P1,schema.product,product_schema,Internal Analysis,productSchema,100
F076,Schema,reviewSchema,Review schema markup,리뷰 스키마 마크업,7,Structured Data,Positive,P1,schema.review,review_schema,Internal Analysis,reviewSchema,100
F077,Schema,localBusinessSchema,Local business schema,로컬 비즈니스 스키마,8,Local SEO,Positive,P1,schema.local,local_schema,Internal Analysis,localBusinessSchema,100
F078,Schema,ampStatus,AMP page status,AMP 페이지 상태,7,AMP,Positive,P1,schema.amp,amp_score,Search Console API,AMP Status,100
F079,Demotions,exactMatchDomainDemotion,Exact match domain penalty,정확 일치 도메인 페널티,7,Domain Penalty,Negative,P1,demotion.emd,emd_penalty,Internal Analysis,exactMatchDomainDemotion,100
F080,Demotions,localMismatch,Local relevance mismatch,지역 관련성 불일치,7,Local SEO,Negative,P1,demotion.local,local_mismatch,Internal Analysis,localMismatch,100
F081,Demotions,productReviewDemotion,Low-quality product review penalty,저품질 제품 리뷰 페널티,8,Content Quality,Negative,P0,demotion.review,review_penalty,Internal Analysis,productReviewDemotion,100
F082,Demotions,spamBrain,AI spam detection system,AI 스팸 감지 시스템,9,Spam Detection,Negative,P0,demotion.spambrain,spam_score,Internal Analysis,spamBrain,100
F083,Demotions,manualAction,Manual penalty,수동 페널티,10,Penalty,Negative,P0,demotion.manual,manual_penalty,Search Console API,manualAction,100
F084,SpecialModules,isElectionAuthority,Election authority whitelist,선거 권위 사이트 화이트리스트,8,YMYL Trust,Positive,P1,special.election,election_auth,Internal Analysis,isElectionAuthority,100
F085,SpecialModules,isCovidLocalAuthority,COVID authority whitelist,코로나 권위 사이트 화이트리스트,8,YMYL Trust,Positive,P1,special.covid,covid_auth,Internal Analysis,isCovidLocalAuthority,100
F086,SpecialModules,smallPersonalSite,Small personal site flag,소규모 개인 사이트 플래그,6,Site Classification,Variable,P2,special.personal,personal_flag,Internal Analysis,smallPersonalSite,100
F087,SpecialModules,isYMYL,Your Money Your Life flag,YMYL 콘텐츠 플래그,8,YMYL,Variable,P0,special.ymyl,ymyl_flag,Internal Analysis,isYMYL,100
F088,Brand,brandRecognition,Brand recognition and signals,브랜드 인지도 및 신호,9,Social Signals,Positive,P0,brand.recognition,brand_score,Internal Analysis,Brand Recognition,100
F089,Brand,socialSignals,Social media presence and engagement,소셜 미디어 존재감 및 참여,6,Social Signals,Positive,P2,brand.social,social_score,Internal Analysis,Social Signals,100
F090,OnPage,titleOptimization,Title tag optimization score,타이틀 태그 최적화 점수,8,On-Page SEO,Positive,P0,onpage.title,title_opt_score,Internal Analysis,Title Optimization,100
F091,OnPage,metaDescription,Meta description quality,메타 설명 품질,7,On-Page SEO,Positive,P1,onpage.meta_desc,meta_desc_score,Internal Analysis,Meta Description,100
F092,OnPage,headingStructure,Heading hierarchy quality,제목 구조 품질,6,On-Page SEO,Positive,P1,onpage.headings,heading_score,Internal Analysis,Heading Structure,100
F093,OnPage,imageOptimization,Image alt text and compression,이미지 최적화,6,On-Page SEO,Positive,P1,onpage.images,image_score,PageSpeed API,Image Optimization,100
F094,OnPage,internalLinking,Internal link structure,내부 링크 구조,7,On-Page SEO,Positive,P1,onpage.internal,internal_link_score,Internal Analysis,Internal Linking,100
F095,OnPage,externalLinking,External link quality,외부 링크 품질,6,On-Page SEO,Positive,P2,onpage.external,external_link_score,Internal Analysis,External Linking,100
F096,LocalSEO,localBusiness,Local business optimization,로컬 비즈니스 최적화,8,Local SEO,Positive,P1,local.business,local_business_score,Internal Analysis,Local SEO,100
F097,LocalSEO,geoCoordinates,Geographic coordinates,지리 좌표,7,Local SEO,Positive,P1,local.geo,geo_score,Internal Analysis,Geo Coordinates,100
F098,LocalSEO,serviceArea,Service area definition,서비스 지역 정의,7,Local SEO,Positive,P1,local.service_area,service_area_score,Internal Analysis,Service Area,100
F099,EEAT,authorCredentials,Author credentials visibility,저자 자격 가시성,7,E-E-A-T,Positive,P1,eeat.author,author_cred_score,Internal Analysis,Author Authority,100
F100,EEAT,expertiseSignals,Expertise demonstration,전문성 표시,7,E-E-A-T,Positive,P1,eeat.expertise,expertise_score,Internal Analysis,Expertise,100
F101,EEAT,trustSignals,Trust indicators presence,신뢰 지표 존재,8,E-E-A-T,Positive,P1,eeat.trust,trust_indicator_score,Internal Analysis,Trust Signals,100
F102,EEAT,experienceSignals,First-hand experience indicators,직접 경험 지표,7,E-E-A-T,Positive,P1,eeat.experience,experience_score,Internal Analysis,Experience,100
F103,RankingSystems,Mustang,Primary scoring and ranking system,1차 스코어링 및 랭킹 시스템,10,Core Algorithm,Core,P0,system.mustang,mustang_score,Internal Analysis,Mustang,100
F104,RankingSystems,Twiddlers,Re-ranking functions post-Ascorer,Ascorer 이후 재랭킹 함수,9,Core Algorithm,Core,P0,system.twiddlers,twiddler_boost,Internal Analysis,Twiddlers,100
F105,RankingSystems,Ascorer,Initial relevance scoring,초기 관련성 점수,10,Core Algorithm,Core,P0,system.ascorer,relevance_score,Internal Analysis,Ascorer,100
F106,RankingSystems,Glue,Universal search vertical ranking,유니버설 검색 버티컬 랭킹,8,Core Algorithm,Core,P1,system.glue,vertical_score,Internal Analysis,Glue,100
F107,RealTime,RealTimeBoost,Real-time trending boost,실시간 트렌딩 부스트,7,Trending,Positive,P1,realtime.boost,trending_score,Internal Analysis,RealTimeBoost,100
F108,RealTime,twitterData,Twitter/X data signals,Twitter/X 데이터 신호,6,Social Signals,Positive,P2,realtime.twitter,social_score,Internal Analysis,twitterData,100
F109,RealTime,instantNavboost,Instant Navboost updates,즉시 Navboost 업데이트,7,User Engagement,Positive,P1,realtime.instant,instant_score,Internal Analysis,instantNavboost,100
